DGLM ;   nostress ; 0 ; 22635203237.418091
DGLM ;   nostress ; 1 ; 22003627527.587433
DGLM ;   nostress ; 2 ; 21279652360.134415
DGLM ;   nostress ; 3 ; 20776439340.354687
DGLM ;   nostress ; 4 ; 20330874087.538105
DGLM ;   nostress ; 5 ; 19938103095.071972
DGLM ;   nostress ; 6 ; 19787675906.714859
DGLM ;   nostress ; 7 ; 19463115214.664864
DGLM ;   nostress ; 8 ; 19350091607.087288
DGLM ;   nostress ; 9 ; 19126087026.311649
DGLM ;   nostress ; 10 ; 18871100204.135094
DGLM ;   nostress ; 11 ; 18666290306.257298
DGLM ;   nostress ; 12 ; 18499361925.863297
DGLM ;   nostress ; 13 ; 18333232138.859516
DGLM ;   nostress ; 14 ; 18169209876.742325
DGLM ;   nostress ; 15 ; 17996669800.488171
DGLM ;   nostress ; 16 ; 17801750254.084908
DGLM ;   nostress ; 17 ; 17630454892.409969
DGLM ;   nostress ; 18 ; 17426067535.392292
DGLM ;   nostress ; 19 ; 17226367275.083351
DGLM ;   nostress ; 20 ; 17007321233.707232
DGLM ;   nostress ; 21 ; 16768149228.215799
DGLM ;   nostress ; 22 ; 16524461021.190619
DGLM ;   nostress ; 23 ; 16298971203.141670
DGLM ;   nostress ; 24 ; 16070736441.445271
DGLM ;   nostress ; 25 ; 15853633393.758028
DGLM ;   nostress ; 26 ; 15628656021.709614
DGLM ;   nostress ; 27 ; 15460632530.005423
DGLM ;   nostress ; 28 ; 15258735272.257425
DGLM ;   nostress ; 29 ; 15077934947.893770
DGLM ;   nostress ; 30 ; 14922352740.965094
DGLM ;   nostress ; 31 ; 14853543293.255978
DGLM ;   nostress ; 32 ; 14812738630.836216
DGLM ;   nostress ; 33 ; 14780978291.750238
DGLM ;   nostress ; 34 ; 14776755621.783054
DGLM ;   nostress ; 35 ; 14799612600.861923
DGLM ;   nostress ; 36 ; 14874852245.343086
DGLM ;   nostress ; 37 ; 14946328699.964510
DGLM ;   nostress ; 38 ; 15013536956.085094
DGLM ;   nostress ; 39 ; 15138292332.460594
